KURS;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;10000IDR;100INR;100KRW;1CNY;1XDR;nrtabeli;peˆnynumertabeli;;;;;;;;
07.02.2023;0,1319;4,4325;3,0754;0,5647;3,3049;2,8048;3,3419;4,7476;1,2088;4,7856;5,3212;0,1258;3,3628;0,1992;0,6380;3,1050;0,4284;0,4170;0,9683;2,4274;0,2355;1,2777;0,5516;0,0803;0,2320;0,2516;0,8612;1,0301;2,9267;5,3596;0,3518;0,6532;5,9111;26;026/A/NBP/2023;;;;;;;;
08.02.2023;0,1317;4,4074;3,0790;0,5615;3,2967;2,7958;3,3318;4,7402;1,2166;4,8004;5,3351;0,1258;3,3728;0,1993;0,6368;3,1371;0,4308;0,4184;0,9682;2,4236;0,2341;1,2705;0,5557;0,0804;0,2337;0,2517;0,8459;1,0253;2,9188;5,3423;0,3503;0,6498;5,9308;27;027/A/NBP/2023;;;;;;;;
09.02.2023;0,1315;4,4003;3,0700;0,5606;3,2826;2,8008;3,3285;4,7363;1,2299;4,7912;5,3427;0,1258;3,3630;0,1996;0,6364;3,1304;0,4330;0,4232;0,9691;2,4216;0,2336;1,2604;0,5490;0,0808;0,2331;0,2487;0,8460;1,0195;2,9152;5,3321;0,3496;0,6492;5,9205;28;028/A/NBP/2023;;;;;;;;
10.02.2023;0,1319;4,4565;3,0897;0,5676;3,3167;2,8198;3,3580;4,7716;1,2262;4,8283;5,3922;0,1258;3,4035;0,2008;0,6409;3,1579;0,4386;0,4285;0,9735;2,4397;0,2368;1,2688;0,5561;0,0818;0,2374;0,2503;0,8422;1,0286;2,9448;5,4018;0,3524;0,6550;5,9516;29;029/A/NBP/2023;;;;;;;;
13.02.2023;0,1323;4,4856;3,1041;0,5714;3,3562;2,8390;3,3664;4,7895;1,2339;4,8582;5,4003;0,1258;3,3807;0,2017;0,6429;3,1407;0,4412;0,4292;0,9771;2,4488;0,2382;1,2679;0,5619;0,0818;0,2400;0,2490;0,8600;1,0282;2,9520;5,4220;0,3514;0,6569;6,0033;30;030/A/NBP/2023;;;;;;;;
14.02.2023;0,1315;4,4463;3,0992;0,5664;3,3339;2,8186;3,3531;4,7847;1,2510;4,8519;5,4193;0,1258;3,3677;0,2013;0,6421;3,1130;0,4412;0,4313;0,9761;2,4464;0,2359;1,2688;0,5586;0,0811;0,2396;0,2493;0,8617;1,0225;2,9330;5,3724;0,3509;0,6526;5,9865;31;031/A/NBP/2023;;;;;;;;
15.02.2023;0,1293;4,4372;3,0671;0,5654;3,3123;2,7902;3,3282;4,7593;1,2551;4,8105;5,3674;0,1258;3,3270;0,2007;0,6386;3,1046;0,4362;0,4276;0,9714;2,4334;0,2354;1,2564;0,5652;0,0804;0,2382;0,2465;0,8545;1,0102;2,9186;5,3586;0,3456;0,6485;5,9349;32;032/A/NBP/2023;;;;;;;;
16.02.2023;0,1300;4,4601;3,0859;0,5683;3,3335;2,8074;3,3437;4,7728;1,2482;4,8349;5,3772;0,1258;3,3317;0,2017;0,6405;3,0972;0,4373;0,4280;0,9739;2,4403;0,2366;1,2625;0,5632;0,0809;0,2403;0,2472;0,8546;1,0128;2,9430;5,3917;0,3467;0,6506;5,9655;33;033/A/NBP/2023;;;;;;;;
17.02.2023;0,1297;4,4888;3,0632;0,5724;3,3240;2,7829;3,3495;4,7747;1,2382;4,8144;5,3606;0,1258;3,3288;0,2014;0,6412;3,0904;0,4344;0,4262;0,9736;2,4412;0,2379;1,2587;0,5668;0,0811;0,2412;0,2458;0,8602;1,0128;2,9527;5,4186;0,3448;0,6521;5,9641;34;034/A/NBP/2023;;;;;;;;
20.02.2023;0,1293;4,4515;3,0701;0,5682;3,3062;2,7722;3,3314;4,7542;1,2393;4,8185;5,3520;0,1258;3,3174;0,2005;0,6385;3,0772;0,4330;0,4277;0,9666;2,4308;0,2361;1,2508;0,5644;0,0810;0,2416;0,2455;0,8614;1,0047;2,9368;5,3799;0,3431;0,6490;5,9555;35;035/A/NBP/2023;;;;;;;;
21.02.2023;0,1288;4,4524;3,0671;0,5676;3,3088;2,7784;3,3279;4,7469;1,2351;4,8160;5,3832;0,1258;3,3075;0,2000;0,6374;3,0844;0,4336;0,4315;0,9653;2,4270;0,2361;1,2328;0,5572;0,0809;0,2417;0,2447;0,8615;1,0045;2,9311;5,3773;0,3429;0,6476;5,9463;36;036/A/NBP/2023;;;;;;;;
22.02.2023;0,1292;4,4687;3,0482;0,5696;3,2975;2,7790;3,3356;4,7538;1,2381;4,8176;5,3971;0,1258;3,3123;0,2005;0,6385;3,0889;0,4327;0,4308;0,9650;2,4306;0,2368;1,2125;0,5561;0,0810;0,2420;0,2441;0,8647;1,0061;2,9396;5,3941;0,3423;0,6482;5,9465;37;037/A/NBP/2023;;;;;;;;
