KURS;1 USD;1 EUR;1 AUD;1 CYP;1 CZK;1 DKK;1 EEK;1 HKD;100 JPY;1 CAD;1 LTL;1 LVL ;1 MTL;1 NOK;1 ZAR;1 RUB;1 SKK;100 SIT;1 CHF;1 SEK;1 UAH;100 HUF;1 GBP;1 XDR;NR TAB
19.03.2003;4,0693;4,3283;2,4158;7,4197;0,1371;0,5826;0,2767;0,5219;3,4269;2,749;1,254;6,9873;10,2421;0,5473;0,4981;0,1297;0,1037;1,8665;2,9413;0,4702;0,7629;1,7623;6,3409;5,5496;55/A/NBP/2003
20.03.2003;4,0625;4,3124;2,4179;7,3855;0,1363;0,5805;0,2756;0,521;3,3861;2,7484;1,2492;6,9639;10,2165;0,5466;0,497;0,1295;0,1029;1,8584;2,9308;0,4695;0,7616;1,7499;6,3525;5,5422;56/A/NBP/2003
21.03.2003;4,0698;4,3091;2,4081;7,3856;0,136;0,5801;0,2754;0,5219;3,3711;2,7466;1,2481;6,9653;10,2123;0,5484;0,4999;0,1297;0,1028;1,8574;2,9248;0,47;0,7626;1,7503;6,3617;5,526;57/A/NBP/2003
24.03.2003;4,0746;4,3346;2,4189;7,4254;0,1367;0,5835;0,2769;0,5222;3,3789;2,7456;1,256;6,9873;10,2691;0,5505;0,4975;0,1298;0,1037;1,8705;2,9393;0,4714;0,7632;1,7607;6,4017;5,5557;58/A/NBP/2003
25.03.2003;4,0621;4,3518;2,4289;7,4613;0,137;0,586;0,2781;0,5212;3,3975;2,7552;1,2606;6,9937;10,2989;0,5548;0,5055;0,1294;0,1042;1,868;2,9562;0,4714;0,7619;1,7654;6,4091;5,5612;59/A/NBP/2003
26.03.2003;4,0635;4,3286;2,4294;7,4209;0,1361;0,5829;0,2765;0,5211;3,3751;2,7584;1,2533;6,967;10,2549;0,5554;0,5053;0,1294;0,104;1,868;2,935;0,4691;0,7613;1,7575;6,3971;5,5186;60/A/NBP/2003
27.03.2003;4,0571;4,3542;2,4371;7,4609;0,1369;0,5863;0,2783;0,5202;3,3856;2,7711;1,2611;6,9818;10,2936;0,5537;0,5113;0,1293;0,105;1,8781;2,9437;0,4705;0,76;1,7673;6,3868;5,5486;61/A/NBP/2003
28.03.2003;4,0736;4,3701;2,443;7,4869;0,1371;0,5885;0,2793;0,5225;3,3915;2,7798;1,2657;7,0073;10,319;0,5561;0,5111;0,1299;0,1055;1,8834;2,9604;0,4737;0,7637;1,7698;6,3672;5,5586;62/A/NBP/2003
31.03.2003;4,0512;4,4052;2,4473;7,5373;0,138;0,5932;0,2816;0,5197;3,4087;2,7635;1,2759;7,0146;10,3811;0,5571;0,5094;0,1291;0,1068;1,8985;2,9846;0,4769;0,7596;1,7846;6,3908;5,5956;63/A/NBP/2003
01.04.2003;4,0823;4,4518;2,4662;7,6262;0,139;0,5995;0,2845;0,5234;3,46;2,7808;1,2891;7,0748;10,4847;0,5628;0,5191;0,1305;0,1079;1,9177;3,0157;0,4823;0,7651;1,7986;6,4528;5,6135;64/A/NBP/2003
02.04.2003;4,0746;4,4158;2,4517;7,5665;0,1381;0,5946;0,2822;0,5225;3,4309;2,7594;1,2788;7,0349;10,4109;0,5626;0,5144;0,1302;0,1077;1,9018;2,9797;0,4783;0,7641;1,7832;6,4053;5,5687;65/A/NBP/2003
03.04.2003;4,0598;4,3632;2,4322;7,4636;0,1367;0,5876;0,2789;0,5208;3,4065;2,7584;1,2637;6,9862;10,2991;0,5574;0,5117;0,1298;0,1059;1,8787;2,9409;0,4736;0,7612;1,7716;6,3502;5,5209;66/A/NBP/2003
04.04.2003;4,069;4,3648;2,4401;7,4561;0,137;0,5877;0,279;0,5217;3,3905;2,7508;1,2642;6,991;10,3114;0,561;0,515;0,1301;0,106;1,8801;2,9394;0,4753;0,7627;1,7753;6,371;5,557;67/A/NBP/2003
07.04.2003;4,091;4,3231;2,4265;7,3893;0,1367;0,5821;0,2763;0,5244;3,3867;2,7413;1,2522;6,9846;10,2334;0,5558;0,5059;0,1307;0,1052;1,8613;2,908;0,4709;0,7666;1,7663;6,3351;5,4934;68/A/NBP/2003
08.04.2003;4,0554;4,3428;2,4302;7,416;0,1373;0,5847;0,2775;0,52;3,3932;2,7422;1,2577;6,9635;10,2497;0,5597;0,5058;0,1296;0,1055;1,8702;2,9231;0,4732;0,7607;1,7747;6,3003;5,5581;69/A/NBP/2003
09.04.2003;3,9948;4,2981;2,4132;7,339;0,1371;0,5788;0,2746;0,5123;3,3343;2,7218;1,2445;6,8682;10,1287;0,5511;0,4986;0,1277;0,1048;1,8498;2,8919;0,4694;0,7491;1,7603;6,2035;5,4815;70/A/NBP/2003
10.04.2003;3,9542;4,2581;2,3935;7,2695;0,1355;0,5734;0,2721;0,507;3,2954;2,6977;1,2328;6,7961;10,0427;0,5435;0,5066;0,1264;0,1038;1,8322;2,8555;0,4662;0,7414;1,745;6,1806;5,4023;71/A/NBP/2003
11.04.2003;3,9711;4,2703;2,4063;7,2797;0,1358;0,575;0,273;0,5091;3,3081;2,7295;1,2366;6,8297;10,0834;0,5402;0,5093;0,1269;0,1039;1,8378;2,85;0,4678;0,7445;1,7408;6,2345;5,3972;72/A/NBP/2003
14.04.2003;3,9443;4,2398;2,3789;7,2315;0,1341;0,5709;0,271;0,5057;3,2668;2,7106;1,2282;6,7799;10,0196;0,538;0,504;0,1264;0,1032;1,8247;2,8342;0,4652;0,7397;1,7289;6,2049;5,3861;73/A/NBP/2003
15.04.2003;3,9469;4,2453;2,385;7,2408;0,1346;0,5717;0,2713;0,5063;3,2733;2,7115;1,2293;6,7865;10,0314;0,5413;0,5045;0,1266;0,1036;1,827;2,8325;0,4652;0,7405;1,7295;6,1993;5,3908;74/A/NBP/2003
16.04.2003;3,9573;4,2933;2,4127;7,3233;0,1364;0,5782;0,2744;0,5078;3,2933;2,7352;1,2434;6,8337;10,1209;0,5468;0,5169;0,127;0,1048;1,8472;2,8579;0,4691;0,7423;1,7486;6,2353;5,4326;75/A/NBP/2003
17.04.2003;3,918;4,2767;2,4062;7,29;0,1355;0,576;0,2733;0,5023;3,284;2,6971;1,2385;6,7895;10,0711;0,5453;0,5152;0,1256;0,1045;1,8404;2,8528;0,4664;0,7346;1,7408;6,1918;5,4116;76/A/NBP/2003
18.04.2003;3,9139;4,2631;2,4062;7,2662;0,1345;0,5741;0,2725;0,5021;3,2718;2,7031;1,2345;6,7615;10,0391;0,5433;0,514;0,1255;0,1041;1,8342;2,8372;0,4659;0,7343;1,7366;6,1677;5,3607;77/A/NBP/2003
