data;1 THB;1 USD;1 AUD;1 HKD;1 CAD;1 NZD;1 SGD;1 EUR;100 HUF;1 CHF;1 GBP;1 UAH;100 JPY;1 CZK;1 DKK;100 ISK;1 NOK;1 SEK;1 RON;1 BGN;1 TRY;1 ILS;100 CLP;1 PHP;1 MXN;1 ZAR;1 BRL;1 MYR;10000 IDR;100 INR;100 KRW;1 CNY;1 XDR;nr tabeli;peˆny numer tabeli
20230216;0,13;4,4601;3,0859;0,5683;3,3335;2,8074;3,3437;4,7728;1,2482;4,8349;5,3772;0,1258;3,3317;0,2017;0,6405;3,0972;0,4373;0,428;0,9739;2,4403;0,2366;1,2625;0,5632;0,0809;0,2403;0,2472;0,8546;1,0128;2,943;5,3917;0,3467;0,6506;5,9655;33;033/A/NBP/2023
20230217;0,1297;4,4888;3,0632;0,5724;3,324;2,7829;3,3495;4,7747;1,2382;4,8144;5,3606;0,1258;3,3288;0,2014;0,6412;3,0904;0,4344;0,4262;0,9736;2,4412;0,2379;1,2587;0,5668;0,0811;0,2412;0,2458;0,8602;1,0128;2,9527;5,4186;0,3448;0,6521;5,9641;34;034/A/NBP/2023
20230220;0,1293;4,4515;3,0701;0,5682;3,3062;2,7722;3,3314;4,7542;1,2393;4,8185;5,352;0,1258;3,3174;0,2005;0,6385;3,0772;0,433;0,4277;0,9666;2,4308;0,2361;1,2508;0,5644;0,081;0,2416;0,2455;0,8614;1,0047;2,9368;5,3799;0,3431;0,649;5,9555;35;035/A/NBP/2023
20230221;0,1288;4,4524;3,0671;0,5676;3,3088;2,7784;3,3279;4,7469;1,2351;4,816;5,3832;0,1258;3,3075;0,2;0,6374;3,0844;0,4336;0,4315;0,9653;2,427;0,2361;1,2328;0,5572;0,0809;0,2417;0,2447;0,8615;1,0045;2,9311;5,3773;0,3429;0,6476;5,9463;36;036/A/NBP/2023
20230222;0,1292;4,4687;3,0482;0,5696;3,2975;2,779;3,3356;4,7538;1,2381;4,8176;5,3971;0,1258;3,3123;0,2005;0,6385;3,0889;0,4327;0,4308;0,965;2,4306;0,2368;1,2125;0,5561;0,081;0,242;0,2441;0,8647;1,0061;2,9396;5,3941;0,3423;0,6482;5,9465;37;037/A/NBP/2023
20230223;0,1295;4,4873;3,0589;0,5719;3,314;2,7962;3,3407;4,7525;1,2472;4,8085;5,3984;0,1258;3,3271;0,2005;0,6384;3,1123;0,4333;0,4303;0,9665;2,4299;0,2378;1,2392;0,5602;0,0815;0,2453;0,2449;0,8709;1,012;2,9541;5,4229;0,3455;0,6504;5,9485;38;038/A/NBP/2023
20230224;0,1281;4,463;3,0275;0,5687;3,2892;2,7738;3,3192;4,7245;1,2438;4,7749;5,3663;0,1258;3,3023;0,1997;0,6347;3,094;0,4327;0,4288;0,9606;2,4156;0,2364;1,2197;0,5526;0,0813;0,2426;0,2434;0,8687;1,0062;2,9313;5,3942;0,3413;0,6433;5,9219;39;039/A/NBP/2023
20230227;0,1273;4,4697;3,0026;0,5697;3,2874;2,7497;3,3124;4,7162;1,243;4,7487;5,3523;0,1258;3,2771;0,1996;0,6336;3,0967;0,431;0,4264;0,9583;2,4113;0,2367;1,219;0,541;0,0805;0,2431;0,2425;0,8578;0,998;2,9271;5,3952;0,3383;0,6421;5,9245;40;040/A/NBP/2023
20230228;0,1258;4,4475;2,9888;0,5666;3,2726;2,7327;3,297;4,717;1,2418;4,7424;5,37;0,1258;3,2525;0,1999;0,6338;3,0972;0,4295;0,4266;0,9586;2,4117;0,2355;1,2116;0,534;0,0804;0,2424;0,2412;0,8551;0,9911;2,9164;5,3801;0,3363;0,6412;5,9277;41;041/A/NBP/2023
20230301;0,1267;4,4094;2,9819;0,5617;3,2415;2,7582;3,2872;4,6925;1,2473;4,7031;5,3218;0,1258;3,2458;0,2002;0,6303;3,069;0,4271;0,4234;0,9529;2,3992;0,2335;1,2158;0,5327;0,0802;0,2413;0,2425;0,842;0,9859;2,8943;5,3443;0,3376;0,641;5,8719;42;042/A/NBP/2023
20230302;0,1266;4,4002;2,9638;0,5606;3,2329;2,738;3,2671;4,675;1,2503;4,6743;5,2676;0,1258;3,2239;0,1993;0,6282;3,0858;0,4221;0,4197;0,9499;2,3903;0,233;1,2076;0,5428;0,08;0,243;0,2427;0,8495;0,9832;2,8797;5,3274;0,3357;0,6379;5,8366;43;043/A/NBP/2023
20230303;0,1278;4,4341;2,9967;0,5649;3,2695;2,7642;3,2941;4,7046;1,2426;4,728;5,3147;0,1258;3,2566;0,2003;0,6322;3,126;0,4253;0,4222;0,9558;2,4054;0,2348;1,21;0,5459;0,0809;0,2454;0,2438;0,8525;0,9906;2,8981;5,4108;0,341;0,6424;5,8989;44;044/A/NBP/2023
